qid,label,description,author,genre,form_of_creative_work,language,country,publication_date,publisher,instance_of,award_received,first_line,last_line,epigraph,genre_from_description,genre_clean,genre_combined,genre_standardized,publication_year,literary_period,country_grouped,text,text_filtered,fiction_type,is_predicted,prediction_confidence
Q40354,Mockingjay,2010 novel by Suzanne Collins,Suzanne Collins,young adult fiction,novel,English,United States,+2010-08-24T00:00:00Z,Scholastic Corporation,literary work,,,,,,young adult fiction,young adult fiction,other,2010.0,modern,United States,Mockingjay 2010 novel by Suzanne Collins,mockingjay novel by,speculative,True,0.5894383779990736
Q907568,The Scarlet Letter,novel by Nathaniel Hawthorne,Nathaniel Hawthorne,romantic fiction,novel,English,United States,+1850-00-00T00:00:00Z,,literary work,,"It is a little remarkable, that—though disinclined to talk overmuch of myself and my affairs at the fireside, and to my personal friends—an autobiographical impulse should twice in my life have taken possession of me, in addressing the public.","It bore a device, a herald’s wording of which might serve for a motto and brief description of our now concluded legend; so sombre is it, and relieved only by one ever‐glowing point of light gloomier than the shadow:—“On a field, sable, the letter A, gules.”",,,romantic fiction,romantic fiction,realistic,1850.0,victorian,United States,"The Scarlet Letter It is a little remarkable, that—though disinclined to talk overmuch of myself and my affairs at the fireside, and to my personal friends—an autobiographical impulse should twice in my life have taken possession of me, in addressing the public. It bore a device, a herald’s wording of which might serve for a motto and brief description of our now concluded legend; so sombre is it, and relieved only by one ever‐glowing point of light gloomier than the shadow:—“On a field, sable, the letter A, gules.” novel by Nathaniel Hawthorne","the it is a little remarkable , that—though disinclined to talk overmuch of myself and my affairs at the fireside , and to my personal friends—an autobiographical impulse should twice in my life have taken possession of me , in addressing the public . it bore a device , a herald s wording of which might serve for a motto and brief description of our now concluded legend ; so sombre is it , and relieved only by ever‐glowing point of light gloomier than the shadow : — “ on a field , sable , the letter , gules. novel by",realistic,False,
Q28667972,One Piece,Japanese manga series,Eiichiro Oda,action anime and manga,,Japanese,Japan,+1997-12-24T00:00:00Z,Jump Comics,manga series,,,,,,action anime and manga,action anime and manga,other,1997.0,contemporary,Japan,One Piece Japanese manga series,japanese manga series,speculative,True,0.6674999787031181
Q313129,Middlemarch,novel by George Eliot,George Eliot,realist novel,novel,English,United Kingdom of Great Britain and Ireland,+1871-00-00T00:00:00Z,,literary work,,"Who that cares much to know the history of man, and how the mysterious mixture behaves under the varying experiments of Time, has not dwelt, at least briefly, on the life of Saint Theresa, has not smiled with some gentleness at the thought of the little girl walking forth one morning hand-in-hand with her still smaller brother, to go and seek martyrdom in the country of the Moors?","But the effect of her being on those around her was incalculably diffusive: for the growing good of the world is partly dependent on unhistoric acts; and that things are not so ill with you and me as they might have been, is half owing to the number who lived faithfully a hidden life, and rest in unvisited tombs.",,,realist novel,realist novel,realistic,1871.0,victorian,United Kingdom of Great Britain and Ireland,"Middlemarch Who that cares much to know the history of man, and how the mysterious mixture behaves under the varying experiments of Time, has not dwelt, at least briefly, on the life of Saint Theresa, has not smiled with some gentleness at the thought of the little girl walking forth one morning hand-in-hand with her still smaller brother, to go and seek martyrdom in the country of the Moors? But the effect of her being on those around her was incalculably diffusive: for the growing good of the world is partly dependent on unhistoric acts; and that things are not so ill with you and me as they might have been, is half owing to the number who lived faithfully a hidden life, and rest in unvisited tombs. novel by George Eliot","middlemarch who that cares much to know the history of man , and how the mysterious mixture behaves under the varying experiments of , has not dwelt , at least briefly , on the life of , has not smiled with some gentleness at the thought of the little girl walking forth morning hand-in-hand with her still smaller brother , to go and seek martyrdom in the country of the moors ? but the effect of her being on those around her was incalculably diffusive : for the growing good of the world is partly dependent on unhistoric acts ; and that things are not so ill with you and me as they might have been , is half owing to the number who lived faithfully a hidden life , and rest in unvisited tombs . novel by",realistic,False,
Q8337,No label found,1997–2007 fantasy book series by J. K. Rowling,Q34660,fantasy,,British English,United Kingdom,+1997-00-00T00:00:00Z,Bloomsbury Publishing,heptalogy,,,,,fantasy,fantasy,fantasy,speculative,1997.0,contemporary,United Kingdom,No label found 1997–2007 fantasy book series by J. K. Rowling,no label found fantasy book series by,speculative,False,
Q22100530,That Time I Got Reincarnated as a Slime,Japanese light novel series,Fuse,fantasy,,Japanese,Japan,+2014-05-30T00:00:00Z,GC Novels,light novel series,,,,,,fantasy,fantasy,speculative,2014.0,modern,Japan,That Time I Got Reincarnated as a Slime Japanese light novel series,that i reincarnated as a japanese light novel series,speculative,False,
Q174596,Moby-Dick,novel by Herman Melville,Herman Melville,nautical fiction,novel,English,United States,+1851-10-18T00:00:00Z,Richard Bentley,literary work,,Call me Ishmael.,"It was the devious-cruising Rachel, that in her retracing search after her missing children, only found another orphan.","While you take in hand to school others, and to teach them by what name a whale-fish is to be called in our tongue, leaving out, through ignorance, the letter H, which almost alone maketh up the signification of the word, you deliver that which is not true.",,nautical fiction,nautical fiction,realistic,1851.0,victorian,United States,"Moby-Dick Call me Ishmael. It was the devious-cruising Rachel, that in her retracing search after her missing children, only found another orphan. While you take in hand to school others, and to teach them by what name a whale-fish is to be called in our tongue, leaving out, through ignorance, the letter H, which almost alone maketh up the signification of the word, you deliver that which is not true. novel by Herman Melville","me . it was the devious-cruising , that in her retracing search after her missing children , only found another orphan . while you take in hand to school others , and to teach them by what name a whale-fish is to be called in our tongue , leaving out , through ignorance , the letter , which almost alone maketh up the signification of the word , you deliver that which is not true . novel by",realistic,False,
Q876848,The Curious Incident of the Dog in the Night-Time,2003 novel by Mark Haddon,Mark Haddon,crime fiction,novel,British English,United Kingdom,+2003-05-01T00:00:00Z,Jonathan Cape,literary work,,,,,,crime fiction,crime fiction,realistic,2003.0,modern,United Kingdom,The Curious Incident of the Dog in the Night-Time 2003 novel by Mark Haddon,the of the in the night-time novel by,realistic,False,
Q462373,The Yellow Wall Paper,short story by Charlotte Perkins Gilman,Charlotte Perkins Gilman,fiction,short story,English,United States,+1892-00-00T00:00:00Z,,literary work,,,,,,fiction,fiction,realistic,1892.0,victorian,United States,The Yellow Wall Paper short story by Charlotte Perkins Gilman,the short story by,realistic,False,
Q480,Don Quixote,1605 novel by Miguel de Cervantes,Miguel de Cervantes,chivalric romance,novel,Early Modern Spanish,Spain,+1605-00-00T00:00:00Z,Francisco de Robles,literary work,,"En un lugar de la Mancha, de cuyo nombre no quiero acordarme, no ha mucho tiempo que vivía un hidalgo de los de lanza en astillero, adarga antigua, rocín flaco y galgo corredor.","pues no ha sido otro mi deseo que poner en aborrecimiento de los hombres las fingidas y disparatadas historias de los libros de caballerías, que por las de mi verdadero don Quijote van ya tropezando y han de caer del todo sin duda alguna. Vale.",,,chivalric romance,chivalric romance,realistic,1605.0,classical,other,"Don Quixote En un lugar de la Mancha, de cuyo nombre no quiero acordarme, no ha mucho tiempo que vivía un hidalgo de los de lanza en astillero, adarga antigua, rocín flaco y galgo corredor. pues no ha sido otro mi deseo que poner en aborrecimiento de los hombres las fingidas y disparatadas historias de los libros de caballerías, que por las de mi verdadero don Quijote van ya tropezando y han de caer del todo sin duda alguna. Vale. 1605 novel by Miguel de Cervantes","un lugar de la , de cuyo nombre no quiero acordarme , no ha mucho tiempo que vivía un hidalgo de los de lanza en astillero , adarga antigua , rocín flaco y galgo corredor . pues no ha sido otro mi deseo que poner en aborrecimiento de los hombres las fingidas y disparatadas historias de los libros de caballerías , que por las de mi verdadero don van ya tropezando y han de caer del todo sin duda alguna . . novel by de",realistic,False,
